4 2 1 0 0 11 10.600000 2212 0 0.310378
3 -1 1  2212     0     0     -0.36832790     -0.11890330      0.27784638      1.05231010 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0     -0.67188587     -0.23064835      3.22126430      3.29866230 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 3.238218
1 -1 1    11     0     0     -0.12916609      0.88714350      5.99577843      6.06243076 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0      0.02451714     -0.12444584     -0.05194341      0.94950995 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0      0.08151426     -0.79216543      0.49821943      1.32768511 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0      0.02313468      0.02946777      4.15794554      4.15811431 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 4.141273
1 -1 1    11     0     0      0.07512747      0.08951798     -0.06476540      0.13361296 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0      0.01758884      0.02250823      0.07665426      0.94311984 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0     -0.18137879     -0.06339572      0.14976435      0.96938183 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0      0.08866248     -0.04863049     10.43834678     10.43883659 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 1.966543
1 -1 1    11     0     0     -0.37322914      0.09596014      0.52478702      0.65108372 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0      0.01262569     -0.02698649     -0.00225088      0.94004038 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0      0.23247349     -0.19921784      0.19813982      1.00665066 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0      0.12812996      0.13024419      9.87932403      9.88101331 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 0.230710
1 -1 1    11     0     0     -0.00898275      0.06167041     -0.11447297      0.13033899 0.000510 0.000000 0.000000 -3.000000
2 -1 1  2112     0     0     -0.00795904     -0.01656055      0.06436815      0.94194693 0.939565 0.000000 0.000000 -3.000000
3 -1 1  2212     0     0     -0.01921421     -0.26712931      0.24931346      1.00709431 0.938272 0.000000 0.000000 -3.000000
4 -1 1    22     0     0      0.03615599      0.22201946     10.40079136     10.40322358 0.000000 0.000000 0.000000 -3.000000
4 2 1 0 0 11 10.600000 2212 0 16.612974
1 -1 1    11     0     0      0.66244121      0.09070036      1.46785818      1.61296708 0.000510 0.000000 0.000000 -3.000000
